System.TimeCreated_attributes.SystemTime,EventData.Address,EventData.AddressLength,EventData.Binary,EventData.QueryName,EventData.TSId,EventData.UserSid,EventData.param1,EventData.param2,System.Channel,System.Computer,System.Correlation,System.EventID,System.EventID_attributes.Qualifiers,System.EventRecordID,System.Execution_attributes.ProcessID,System.Execution_attributes.ThreadID,System.Keywords,System.Level,System.Opcode,System.Provider_attributes.EventSourceName,System.Provider_attributes.Guid,System.Provider_attributes.Name,System.Security,System.Security_attributes.UserID,System.Task,System.Version
2023-02-10T07:49:45.099073Z,,,77006C00690064007300760063002F0031000000,,,,Microsoft Account Sign-in Assistant,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,926,676,6636,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:52:25.991749Z,,,440073006D005300760063002F0034000000,,,,Device Setup Manager,running,System,WIN-4CKB6CSHOSJ,,7036,16384,927,676,3180,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:53:14.861313Z,,,440073006D005300760063002F0031000000,,,,Device Setup Manager,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,928,676,3944,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:56:12.713625Z,02000000C0A8E002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,128,,wpad,,,,,System,WIN-4CKB6CSHOSJ,,1014,,929,1792,4984,0x4000000010000000,3,0,,1C95126E-7EEA-49A9-A3FE-A378B03DDB4D,Microsoft-Windows-DNS-Client,,S-1-5-20,1014,0
2023-02-10T07:58:45.186633Z,,,540072007500730074006500640049006E007300740061006C006C00650072002F0034000000,,,,Windows Modules Installer,running,System,WIN-4CKB6CSHOSJ,,7036,16384,930,676,144,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T08:00:46.665726Z,,,540072007500730074006500640049006E007300740061006C006C00650072002F0031000000,,,,Windows Modules Installer,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,931,676,3944,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T08:01:54.406678Z,,,7300700070007300760063002F0034000000,,,,Software Protection,running,System,WIN-4CKB6CSHOSJ,,7036,16384,932,676,3944,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T08:02:04.986598Z,,,5300630044006500760069006300650045006E0075006D002F0034000000,,,,Smart Card Device Enumeration Service,running,System,WIN-4CKB6CSHOSJ,,7036,16384,933,676,3944,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T08:02:25.014462Z,,,7300700070007300760063002F0031000000,,,,Software Protection,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,934,676,3944,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T08:02:29.078363Z,,,41007000700069006E0066006F002F0034000000,,,,Application Information,running,System,WIN-4CKB6CSHOSJ,,7036,16384,935,676,3944,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T08:06:19.741643Z,02000000C0A8E002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,128,,wpad,,,,,System,WIN-4CKB6CSHOSJ,,1014,,936,1792,6128,0x4000000010000000,3,0,,1C95126E-7EEA-49A9-A3FE-A378B03DDB4D,Microsoft-Windows-DNS-Client,,S-1-5-20,1014,0
2023-02-10T08:06:57.750691Z,,,5300630044006500760069006300650045006E0075006D002F0031000000,,,,Smart Card Device Enumeration Service,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,937,676,6352,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
