System.TimeCreated_attributes.SystemTime,EventData.payload,EventData.process,System.Channel,System.Computer,System.Correlation,System.EventID,System.EventRecordID,System.Execution_attributes.ProcessID,System.Execution_attributes.ThreadID,System.Keywords,System.Level,System.Opcode,System.Provider_attributes.Guid,System.Provider_attributes.Name,System.Security_attributes.UserID,System.Task,System.Version
2023-02-10T07:37:53.410611Z,Connection from 192.168.224.130 port 54534 on 192.168.224.137 port 22,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,35,3248,3272,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:37:53.511651Z,Failed publickey for gerald from 192.168.224.130 port 54534 ssh2: ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,36,3248,3272,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:37:53.514570Z,Connection closed by authenticating user gerald 192.168.224.130 port 54534 [preauth],sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,37,3248,3272,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:54:41.179273Z,Connection from 192.168.224.130 port 54538 on 192.168.224.137 port 22,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,38,6012,6056,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:54:41.283875Z,Accepted key ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k found at C:\\Users\\gerald\\.ssh/authorized_keys:2,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,39,6012,6056,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:54:41.284433Z,Postponed publickey for gerald from 192.168.224.130 port 54538 ssh2 [preauth],sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,40,6012,6056,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:54:41.292334Z,Accepted key ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k found at C:\\Users\\gerald\\.ssh/authorized_keys:2,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,41,6012,6056,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:54:41.300941Z,Accepted publickey for gerald from 192.168.224.130 port 54538 ssh2: ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,42,6012,6056,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:54:41.361092Z,User child is on pid 6812,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,43,6012,6056,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:56:46.430506Z,Connection from 192.168.224.130 port 54540 on 192.168.224.137 port 22,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,44,1084,6472,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:56:46.532181Z,Accepted key ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k found at C:\\Users\\gerald\\.ssh/authorized_keys:2,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,45,1084,6472,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:56:46.532722Z,Postponed publickey for gerald from 192.168.224.130 port 54540 ssh2 [preauth],sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,46,1084,6472,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:56:46.537373Z,Accepted key ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k found at C:\\Users\\gerald\\.ssh/authorized_keys:2,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,47,1084,6472,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:56:46.544421Z,Accepted publickey for gerald from 192.168.224.130 port 54540 ssh2: ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,48,1084,6472,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:56:46.592730Z,User child is on pid 6672,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,49,1084,6472,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:59:07.599233Z,Connection from 192.168.224.130 port 54542 on 192.168.224.137 port 22,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,50,6220,32,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:59:07.699876Z,Accepted key ED25519 SHA256:3pzrzdpqM7H0ZBdojFPWpQM5rKrIFt6GdOnrDgqeW3k found at C:\\Users\\gerald\\.ssh/authorized_keys:2,sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,51,6220,32,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
2023-02-10T07:59:07.700406Z,Postponed publickey for gerald from 192.168.224.130 port 54542 ssh2 [preauth],sshd,OpenSSH/Operational,WIN-4CKB6CSHOSJ,,4,52,6220,32,0x4000000000000000,4,0,C4B57D35-0636-4BC3-A262-370F249F9802,OpenSSH,S-1-5-18,0,0
